Unnamed: 0,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_popularity,artist_popularity,year,hit
716,3MhWFpRMVEyZ9QXGIb5RJK,0.992,0.447,1004626,0.163,0.7759999999999999,8,0.654,-14.835,1,0.0707,74.933,3,0.197,54,54.5,2016,0
720,6rUcboqRuVuowjaL5YUNtx,1.66e-05,0.57,210742,0.924,0.0113,9,0.0819,-4.772,1,0.0875,101.046,4,0.332,54,52.0,2019,0
721,3wtO8sHyjZwTLgtDU8NlFk,0.000453,0.371,315217,0.973,0.00104,0,0.28800000000000003,-3.983,1,0.18,143.724,4,0.38,0,29.0,2019,0
722,18t9EUBOfOPRv4nrJUpRAq,0.07200000000000001,0.838,224444,0.536,0.000259,2,0.208,-6.2879999999999985,1,0.0435,119.956,4,0.89,59,73.0,2019,0
723,6OwYk4v6KoCo3BaHS53MxC,0.0504,0.394,298666,0.721,0.118,2,0.12,-6.682,1,0.0774,175.96599999999995,4,0.74,19,55.5,2019,0
728,0EGTtRoVU5mwSwLVkMwrYF,0.925,0.204,140420,0.114,0.893,0,0.103,-15.489,1,0.0475,107.497,4,0.397,0,46.0,2019,0
729,2VqKx3HH8gaZPabNWYvksy,0.388,0.705,212787,0.433,0.134,4,0.0841,-9.706,1,0.204,168.00599999999997,4,0.602,72,71.0,2019,0
731,3f9eR0IZrktbCSqPfxM9jr,0.166,0.597,226560,0.633,0.0,0,0.0768,-5.8279999999999985,1,0.0791,87.976,4,0.615,60,72.0,2019,0
735,2yuDexdINZo3jxbFHf5fLw,0.967,0.5379999999999999,152106,0.0687,0.461,2,0.0854,-17.993,0,0.0371,103.808,4,0.132,54,52.0,2017,0
736,0ogLQ4Dm6uP4pgoGJyHz73,0.0461,0.616,227586,0.7120000000000001,5.62e-05,5,0.338,-8.704,0,0.0285,101.253,4,0.44,32,49.0,2019,0
740,12zuJhwGaqJu8fvgBWqYuy,0.94,0.382,176296,0.239,0.755,6,0.106,-12.423,1,0.0325,67.643,3,0.141,52,47.0,2017,0
741,2ouOVzQTzSsLa2OH1Zxhvu,0.00207,0.6859999999999999,187654,0.862,1.12e-05,7,0.14800000000000002,-3.426,1,0.034,87.48,4,0.472,64,76.0,2017,0
750,43ioujgfr3uASYa0v1xmdp,0.00013000000000000002,0.348,389640,0.945,0.232,1,0.0632,-6.3020000000000005,1,0.276,141.045,4,0.0395,2,24.0,2019,0
753,1GzKUM68RZ2k0lwwnBtuqo,0.000705,0.399,161655,0.991,0.8690000000000001,2,0.293,-6.816,1,0.0792,145.031,4,0.0346,8,29.0,2019,0
754,7HNurYC9VmUMRznWjEHLaT,5.23e-05,0.34600000000000003,183495,0.888,0.0,6,0.0967,-3.6010000000000004,1,0.0626,114.924,4,0.652,54,48.0,2018,0
761,1Y4EnGcSM4zTBSTMqF9BXJ,0.388,0.745,201613,0.65,0.00313,1,0.217,-6.204,1,0.0268,90.979,4,0.743,35,54.5,2019,0
